Link,Title,Authors,MainIdea,Problems,Solutions,THRIVE,Implement
https://drive.google.com/file/d/1DKXgxPqTBmN7aAvCLgTkrpvEzDSo-yWr/view?usp=sharing,US Adult Literacy Facts,ProLiteracy,"More than 36 million adults in the US have low literacy (or illiteracy), and this affects unemployment, family literacy, poverty, education, health literacy/healthcare costs, and crime rates.",High number of low literacy in adults with little access to services (less than 10% of adults in need are receiving service in the US),"Increase accessibility to literacy programs (reading, writing, math, health literacy)",Education,Advocate for or provide more adult literacy programs or greater access to them.
https://drive.google.com/file/d/1d8BpsGuKhyvW7FBfwzfC2iUrOMx6g4Xm/view?usp=sharing,What we can learn from red states’ approach to child care challenges,EducationNC (North Carolina),"This article discusses the factors that make investment in early childhood education critical- majority of brain development occurs in the first 3 years of life, young parents can’t afford high-quality childcare early in their careers, and parents can return earlier to the workforce if childcare is provided.",Further investment in early childhood education/care required.,"Solutions offered: childcare vouchers, covering child care costs for teachers, matching local investments, incentives for quality, improving subsidy, tax credits, and strengthening public pre-K.",Education,Encouragement of local government and decision-makers to adopt proposed solutions or lobby for them?
https://drive.google.com/file/d/1D_uh5VpNJc8b4gKoBbo_Jl6xsYWeZ2Hl/view?usp=sharing,Why Now Is the Time for Businesses to Improve Child Care,Sarah Lynch,"Pandemic era federal funding for child care now over, access gaps have widened. The article urges businesses to step in ","Loss of federal child care stabilization funds leading to reduced access; higher rates of parents, especially women, leaving the workforce due to lack of child care; small businesses facing growth constraints or closure because employees cannot access affordable child care","Employers providing child care stipends, on site centers, negotiated rate partnerships",Education,"Partner with chamcomms to host employer workshops on child care benefit design, ROI; develop CF employer toolkit outlining models for stipends, on site care, local provider partnerships; create pooled purchasing program to negotiate lower child care rates for employees across multiple small businesses"
https://drive.google.com/file/d/1cEfw7Gjap4NLgmrd9xW6qLHVyEAF_8gp/view?usp=sharing,The Business of Childcare and Early Learning in Orange County,"Helios Education Foundation, Early Learning Coalition of Orange County"," Research innovations and proposals and recommednations for addressing childcare teacher and seat shortages in Orange County by developing pilot innovations and systemic solutions to improve provider stability, teacher recruitment, early childhood education infrastructure",Inadequate funding for childcare; high cost and lack of affordability; teacher shortages and retention issues; provider financial instability; insufficient childcare capacity and seats; lack of coordinated data and advocacy,"Provide shared back-office services to childcare providers including centralized bookkeeping, payroll, HR, ACA compliance, and enrollment systems; paid internship and apprenticeship programs in partnership with CareerSource and local ECE centers to fast-track credentialing and classroom readiness",Education,"Partner with UCF and Valencia to co-develop ECE teacher training program embedded in high schools in underserved zip codes;fund + pilot a shared-services pilot for 10 small providers in a single zip code, providing them with outsourced payroll, marketing templates, enrollment software, coaching; Childcare Sponsorship Match Fund where philanthropic dollars match employer contributions to fund employee childcare scholarships"
https://drive.google.com/file/d/1C8nro6u8of6-PuSILLDGPNfWTYLI7EMw/view?usp=sharing,There’s a child care crisis in Florida. Here’s why that matters.,"Lauren Peace, Tampa Bay Times","Florida’s child care crisis is deepening, marked by high costs, low worker pay, staff shortages, and insufficient access to early childhood education, although child care remains a keystone for development and economic stability","Nearly half of Tampa Bay children enter kindergarten unprepared, affecting long-term learning outcomes; child care costs are higher than college tuition; early childhood educators are paid below a living wage, severe worker shortages with 38% of Floridians living in child care deserts; lack of affordable child care limits parental workforce participation; disparate access ","Expanded public and private sector investment in early education, increased wages, hiring/retention bonuses for child care workers, training pathways for early educators, programs like the Early Learning Coalition initiatives in Pinellas County",Education,"Local pilots of family engagement programs tied to early learning; expanded public and private sector investment in early education, increased wages, hiring/retention bonuses for child care workers, training pathways for early educators, programs like the Early Learning Coalition initiatives in Pinellas County"
https://drive.google.com/file/d/1bX3Tro25YoGiNNLV1gagvlrKTZCiv4sj/view,Florida's 2021 Child Care Survey,The Children’s Movement of Florida,"The survey highlights Florida parents’ challenges in accessing affordable, high-quality child care. Parents emphasize safe, nurturing student-teacher relationships, but affordability, availability, and infant/toddler care remain major barriers.","Affordability is the biggest barrier for many families.
Infant and toddler care is especially hard to access.
Quality concerns: many parents rate their care only “average.”
Limited hours, locations, and long waitlists restrict access.
Underrepresentation of certain communities (e.g., Haitian Creole speakers).","Expand access to affordable child care through subsidies and public investment.
Increase support for infant/toddler programs and reduce waitlists.
Improve teacher training, education, and compensation.
Address disparities by ensuring inclusion of underrepresented groups.",Education,"Advocate for expanded subsidies and financial supports.
Partner with providers to pilot infant/toddler-focused programs.
Develop training initiatives for early childhood staff.
Gather more inclusive survey data (Creole, rural families, low-income parents)."
https://drive.google.com/file/d/1boSJQR_M---je4beJzt01rCY6WxbbkLI/view?usp=sharing,Staffing and compensation are at the heart of building a better early childhood system,"Daphna Bassok, Anna J. Markowitz, Kate Miller-Bains, Isabelle Fares",Chronic staffing shortages and low wages undermine early childhood education; public investments and permanent compensation reform will be essential to stabilize the workforce and ensure high-quality early care.,High teacher turnover in childcare; chronic staffing shortages leading to closed classrooms and longer waitlists; low wages ($9–$10/hr) and minimal benefits make retention unsustainable; teachers forced to work extra hours; low morale, Wage supplements or guaranteed stipends (monthly?) for early childhood teachers funded through mixed public-private models,Education,
https://drive.google.com/file/d/1bC0pw8Y4g3C6m3-1YctbezRxr8OT1VqX/view?usp=sharing,This early-education approach has cities everywhere talking,Bloomberg Cities Network,"Providence Talks, a language development program, has been implemented elsewhere with great gains for children who started in low-talk environments","Low-talk environments, reading scores in CF?",Implement pilot of Providence Talks or Birmingham Talks!,Education,Implement pilot of Providence Talks or Birmingham Talks!
https://drive.google.com/file/d/1BbKbA_MS9wYH4ydi6bbe1nxu6VYsEEvy/view?usp=sharing,"The Economic and
Fiscal Impacts of
Education and
Training Beyond High
School in Florida",Florida TaxWatch ,"FL must boost postsec educations and credential attainment, esp among populations of color, to reach its “SAIL to 60” workforce goal by 2030, close gaps, and strengthen economic and social outcomes","Ed'l attainment gaps between racial and ethnic groups; current attainment is 7% below the 60% goal (almost800,000 people); declining enrollment since 2010, especially among white and black populations; financial and logistical barriers for learners; need to replace 1.2M retiring specialized workers in next decade",-,Education,-
https://drive.google.com/file/d/1AZ3NK7jhr181Iaf7ZlsyAl5lCTQ_ZWNs/view?usp=sharing,Silicon Valley Discovers an Age-Old Child Care Hack: The Neighbors,Alisha Haridasani Gupta,"Otter (a new platform connecting working parnets w/stay-at-home caregivers nearby) is attracting major venture capital support, but raising concerns about regulation, worker protections, systemic equity",Lack of affordable and flexible childcare; caregivers earn low wages and have few protections; shortage of licensed childcare options; parents forced out of workforce due to lack of care; rigid center schedules,"Otter = tech solution that matches parents with local stay-at-home caregivers using algorithms, human review, and background checks; caregivers can earn income on their own terms; village-style childcare?",Education,"Explore launching or piloting a CF-specific version of the Otter or Otter-like model that meets local regulations; work w partners to facilitate informal caregiver networks and ensure training, vetting, pay protections"
https://drive.google.com/file/d/1AcwHfE2V9eZoi7u2o5F1ptaFst8RWX-W/view?usp=sharing,"Sarasota employers and workers both hurt by childcare crisis, survey shows",Saundra Amrhein,Reporting on new survey by the Early Learning Coalition of sarasota county reveals widespread childcare challenges among local employees that significantly affect business operations; employer interest in on-site care and tax credits,Hgh childcare costs for employees; lack of available childcare slots; increased absenteeism. turnover for employers; decreased workplace productivity; recruitment and retention challenges; reduced revenue and profits; limited awareness or use of employer childcare tax credits,Employers expressing willingness to help solve childcare access issues; growing interest in providing on-site childcare; partnership opportunities between employers and existing providers like YMCA; task force as connector between businesses and providers(?); employer info sessions on state and federal tax credits for childcare benefits,Education,Launch a childcare-business matchmaking program to connect interested employers with providers able to expand on-site or nearby care; organize tax credit info sessions in partnership with local chambers and economic development councils
https://drive.google.com/file/d/1A5sBV5Wc0LSTe_xtbQfaqSLylTp0Ut6h/view?usp=sharing,Racial Disparities in Basic Needs Insecurity During the Pandemic,The Hope Center,"Students who are parents (the article focuses especially on students of color, single parents, and Black fathers) face disproportionately high levels of food and housing insecurity during college","Extreme rates of basic needs insecurity among parenting students of color; lack of outreach, stigma around public benefits; underutilization of support services, esp among Black fathers; structural racism limiting access to aid and housing; exclusion from financial aid due to full-time or recent graduate restrictions",Designate college coursework as work for TANF compliance; increase peer navigator and targeted outreach efforts; fund and design culturally-responsive support programs for Black fathers; collect and disaggregate data on parenting students,Education,"Partner with local colleges - UCF, Valencia - to support peer navigator models tailored to parenting students, especially single parents and Black fathers; advocate for statewide and campus-specific policy reviews of aid programs that exclude or hinder parenting students"
https://drive.google.com/file/d/19Ny_FQWpOaFUw1QJF0oyB9duKa2tyq7w/view?usp=sharing,Degrees Awarded by Field of Study – Orlando MSA,Orlando Economic Partnership,"Breakdown of 61,745 degrees and certificates awarded in the Orlando metro area (2021–22), showing educational and workforce trends by sector, highlighting strengths in health, business, and STEM-related programs","Gaps in STEM and skilled trades relative to regional job demand.
Underrepresentation of women and minorities in engineering and technology.
Low graduation volume in education and public service fields.","Expand career pathway partnerships between colleges and employers.
Invest in apprenticeships and upskilling programs for high-demand sectors.
Promote diversity in STEM, trades, and leadership programs.",Education,"Collaborate with Valencia, UCF, and Orange Technical College to fill skills gaps.
Create scholarships and mentorships targeting underrepresented fields."
https://drive.google.com/file/d/18ywfRXoyRu9ICU_AMeRUeDWOgiTuQ_Ww/view?usp=sharing,AAUP Special Committee Report on Florida,American Association of University Professors,"Examines the erosion of academic freedom, shared governance, and higher-education autonomy in Florida under recent state policies. The report concludes that legislative and administrative interference threatens democratic values, diversity, and intellectual inquiry across the state’s public universities.","Laws restricting DEI, gender studies, and classroom speech.
Loss of faculty self-governance.
Negative effect on teaching about race, sexuality, and politics.
Censorship and intimidation in faculty hiring and curriculum design.","Reinforce academic freedom protections in university policies.
Build faculty-led oversight bodies to preserve shared governance.
Pursue legal and policy advocacy against unconstitutional restrictions.
",Education,"Support academic freedom coalitions and faculty advocacy groups.
Partner with legal networks to defend First Amendment rights in education.
Integrate education freedom indicators into THRIVE’s democracy dashboard."
https://drive.google.com/file/d/18CZS-UwyfS_pkDhiUU7nYEnCtmF3QEy9/view?usp=sharing,"Opinion: What Do Early Child Care Workers Need? Better Pay, More Respect and a Few Good Men",Calvin Moore Jr.,"Op-ed: ECE workforce needs better pay, improved working conditions, and greater gender diversity, esp  more men, to elevate status and compensation of profession","Low pay and poor benefits for ECE workers; workforce shortages; gender segregation in caregiving roles; lack of male representation in the early education workforce; undervaluing of “pink collar” jobs, stigma",Improve compensation and benefits for early childhood workers; recruit more men to increase status and wages in the field; support male educators through targeted retention efforts and recognition; encourage credentialing through programs like the Child Development Associat,Education,Partner with training providers to launch male-targeted recruitment campaigns into early childhood roles
https://drive.google.com/file/d/16DBrqbxh2xIQO47ndOFaM8kpE6hzVj-g/view?usp=sharing,StriveTogether Theory of Action Overview,StriveTogether,Theory of action statement by Strive Together - which seeks to build civic infrastructure for cradle to career positive outcomes for children in poverty,Disjointed efforts among community orgs; insufficient tracking and acting infrastructure,-,Education,"Proof Point model; youth & family voices central in data collection, planning, outcomes"
https://drive.google.com/file/d/15eDtW_B2CpPprq69iSQRkLBs-W7wREWH/view?usp=sharing,Want to Grow the Economy? Fix the Child Care Crisis,"Sandra Bishop-Josef, Tom Garrett, Sara Watson, Chris Beakey","Lack of affordable quality and accessible child care for infants and toddlers is causing major economic losses for parents, employers, and taxpayers","Child care access is limited, esp for infants/toddlers, off hours work, and rural areas; child care costs exceed college tuition many areas","Expand and improve affordability, quality, and availability of child care through public funding, tax credits, employer partnerships, and quality accreditation",Education,Pooling funding for subsidies and facility expansion; establish employer-sponsored child care programs or on-site care for shift workers; provide tax incentives for businesses that partner with accredited child care providers
https://drive.google.com/file/d/13npfodqKxKtTQe9JtI5hn1IFssPWNiPZ/view?usp=sharing,Invisible Students: The Information Crisis in Early Education,Lynn Olson,"Data is lacking on early learning and development of young learners, and this has only been exacerbated by the pandemic. It has been observed, though, that enrollment is declining and there are fewer learning gains. Outside of the classroom, there has ben an observed rise in stress levels and decline in quality in early childhood experiences. ","Information gaps in data on childhood development and classroom quality are due to the diversity in funding sources, formats, and venues (state funded pre-kindergarden, federally funded Head Start, private or publicly subsidized child care). ","Unify the state's early childhood system under the state department of education. This will allow for easier service coordination, sharing of data, and parent communication. ",Education,Conduct assessments and surveys of early childhood experiences and education to help bridge the information gap. Advocate for unification of school policies under the state department of education. 
https://drive.google.com/file/d/1-luSJ_fLGGXaJzLZIm_NnTW6ZSWI1Nxg/view?usp=sharing,How Accelerated Coursework Contributes to Increased Postsecondary Attainment in Florida,Helios Education Foundation,"Participation in accelerated coursework (DE, IB, AP) significnatly increases postsec enrollment and degree attainment in FL; expanding equitable access to these programs can close achievement gaps and improve regional educational outcomes.","Lower participation rates in accelerated coursework among Black, low-income, ELL, and special education students; rural districts have less access to AP courses; lack of awareness among students and families about accelerated opportunities; insufficient advising and guidance for students navigating options; geographic inequity; in program availability; disparities in educator incentive use and access","Continue state funding and incentive programs for districts and teachers offering AP/DE; improve equity in access by targeting underserved populations for AP/DE enrollment; increase quality advising for students, especially those from priority groups; build awareness campaigns to educate families on options and benefits; expand DE offerings in smaller and rural districts; ensure instructional quality through bonuses and supports for teachers in lower-performing schools",Education,Fund/develop microgrants for schools to offer AP training or DE partnerships with local colleges + launch an annual regional teacher incentive program that layers add'l bonuses for teachers in higher need areas who support students in AP/DE; advocate for increased state investment in the Dual Enrollment Scholarship Program to ensure long-term sustainability
https://docs.google.com/document/d/1O6biMzuC6FQvCaIWwwL8uyX_jiK6HxF3/edit?usp=sharing&ouid=116737849449196756203&rtpof=true&sd=true,States with the Best & Worst School Systems,Adam McCann,"US state public school ranking (on metrics like but not limited to performance, funding, safety, class size, and teacher credentials) - FL ranking 26","FL ranked 26, w/middling academic outcomes; significant disparities in funding and performance exist between states","Identify & replicate low-spending/high-performance models (like Colorado and Iowa); prioritize factors beyond funding--e.g., teacher quality, student safety, class size",Education,-
https://assets.aecf.org/m/databook/2025-KCDB-profile-FL.pdf,2025 Kids Count Report– Florida,Annie E. Casey Foundation,"This report covers the prevalence of child poverty in Florida while looking at four main aspects/contributors: economic well-being, education, health, and family and community. ","While some measurements have improved, 4 of the 16 have seen no progress and 6 (children living in households with a high housing cost burden, young children not in school, fourth graders not proficient in reading, eighth graders not proficient in math, low birth-weight babies, and child and teen death per 100,000) of the 16 have worsened. 3 of the 6 measurements that have worsened fall in the education category. ","Utilize these findings to focus efforts on these stagnant or worsening factors. Specifically, support education by encouraging young childrent to attend school, supporting/funding tutoring organizations, providing support services for teachers, etc. ",Education,"Help fundraise for tutoring organizations, advocate for and increase awareness of services and resources for teachers. Partner with family-focused organizations to assist with funding and promoting their resources to families and children. "
https://drive.google.com/file/d/184mUpGgsF2s5LV9CN0-_peOcTKbfMTWr/view?usp=sharing,Community Pulse Report for Children & Families (October 2020),"Community Pulse Project, Allegheny County","PPT summarizing and tracking key health, housing, education, financial, and child wellbeing markers during the pandemic across a five-county region—racial inequities, service gaps, and systemic stress points that have worsened under Covid","Drastic increases in food insecurity, housing instability, utility shutoffs, child care gaps; reduced access to mental, physical health care; higher eviction filings in black-majority neighborhoods; disparate impacts of virtual schooling on non-white and low-income students; rising unemployment, wage gaps; declining maternal employment; increasing enrollment in SNAP and Medicaid but insufficient benefits; post-secondary enrollment declines especially for Black students.","Expanded moratoriums on utility shutoffs, evictions, foreclosures; utility and housing assistance programs (plus internet as a utility); expanded broadband access; child care stabilization and supports for working mothers of color; direct cash assistance and flexible support services for families.",Economic Stability,Mobilize around stabilization funds for child care and education recovery program; community-led mutual aid and direct cash programs to fill immediate gaps
https://drive.google.com/file/d/1MstB7R_El9mIHZJzjk6-fOR8Eg2zrXkA/view?usp=sharing,Feeding the Line or Ending the Line? Innovations Among Food Banks,Reinvestment Fund,This doc narrates food banks' shift toward addressing the root causes of hunger,"Chronic food insecurity linked to poverty, unemployment, and structural inequities; imited infrastructure for fresh food (refrigeration, logistics) at food banks but processed food reliance contributes to poor health outcomes; prvsly, metrics focus on pounds of food vs. long-term impact & donor expectations and institutional inertia block innovation → ack of alignment across food, health, and economic systems","Partnerships with farmers and gleaning programs for fresh food; mobile markets, nutrition education, and SNAP matching to improve access and affordability; urban gardens & community farms empowering residents and building self-reliance;ealthcare collaborations: food insecurity screening, produce prescriptions, co-located pantries",Economic Stability; Healthcare,PRODUCE PRESCRIPTIONS - but also funding pilot projects for a mobile produce market or food truck serving high-need neighborhoods and/or community gardens/farms; expand SNAP-doubling and support community-led pantry design.
,CareerSTAT A Guide To Making The Case For Investing In The Frontline Hospital Workfore,"Randall Wilson And Robert Hold, Jobs For The Future/National Fund For Workforce Solutions","The U.S. health care system is under pressure to deliver higher quality care at lower costs, with frontline hospital workers playing a critical role. Investing in the education, training, and advancement of these workers strengthens patient care, workforce morale, and long-term institutional performance.","Despite evidence of the benefits, hospitals often face skepticism from decision makers about investing in frontline workers. Barriers include uncertain revenue streams, resistance to long-term workforce investment, and a lack of clear, shared models and metrics to demonstrate impact.","Provide hospitals with adaptable templates and benchmarks for workforce investment, establish recognition programs, and create learning networks to share effective practices.",Economic Stability; Healthcare,"Partner with hospitals to pilot training programs, document outcomes, facilitate regional learning networks, and advocate for policies linking workforce development to quality care."
https://drive.google.com/file/d/1P_KYTlLfSFIhj2PYAWPwcpGXK5wqkgIQ/view?usp=drive_link,Promoting Racial Equity Helps End Hunger: A Child Nutrition Programs (CNP) Equity Brief,Bread for the World Institute,"To reduce racial inequlities and hunger--expand summer and winter out-of-school EBT, increase funding for funding for schools and meal sites in low-income sites (to offset kitchen-equipment and staffing and initial summer feeding startup costs), more schools eligible for FFVP, ensure tailoring to nutritional defiiciencies, establish process for community participation, and strengthen diaggregation and collection of data","Disproportionate hunger and nutritional deficiencies in children of color, excacerbated by inadequate summer and holiday food access and barriers (both financial and infratructural) to expanding food access",Opportunities to make the most of existing funding available for schools to close those gaps. CFF can't do much on the paper's policy solutions (legislative power) outside of lobbying--but certainly can help set up microgrant programs to establish infrastuctrure and staff in high-poverty areas and to inform schools of the FFVP,Economic Stability; Education,"Design and implement an awareness and pressure campaign to get schools to apply for FFVP--the Fresh Fruit and Vegetables Program that provides free fresh fruit and vegetables to children at elementary schools where at least 50 percent of students are certified to receive free or reduced-price meals. Many are eligible, but they don't all apply
Set up system to establish transportation systems for children to get to free-meal site during breaks, Establish grant program to facilitate school feeding sites’ kitchen equipment costs, kitchen staffing costs, and initial summer feeding start-up costs. 
"
,The Path Out of Poverty,Inter-American Development Bank,"The Inter-American Development Bank's approach to reducing poverty focuses on utilizing data-driven, locally tailored strategies that promote multi-sector collaboration, community engagement, and accountable governance. ","The report does not specifically focus on community foundations (CFs), but it identifies broader problems in poverty reduction efforts such as lack of locally tailored solutions, limited community participation, fragmented sector collaboration, insufficient use of data for decision-making, and weak governance and accountability.","While the report doesn’t specifically address community foundations, it provides solutions applicable to them such as adopting data-driven approaches, fostering genuine community engagement, strengthening cross-sector partnerships, and enhancing transparent, accountable governance to effectively reduce poverty.",Economic Stability ,"By using local data to tailor interventions, actively involving community members in decision-making, building strong partnerships across sectors, and promoting transparent accountability mechanisms to ensure effective poverty reduction."
,Lessons Learned from Implementation of the Food Insecurity Screening and Referral Program at Kaiser Permanente Colorado,"Sandra Hoyt Stenmark, MD; John F Steiner, MD, MPH; Sanjana Marpadga, MSc;
Marydale DeBor, JD; Kathleen Underhill; Hilary Seligman, MD, MAS","Kaiser Permanente Colorado integrated routine food insecurity screening into clinical care using validated questions (Hunger Vital Sign), embedded referrals via EHR to community partners like Hunger Free Colorado, and co‑located nutrition services and a food pantry to systematically identify and address patients’ food needs, improving health outcomes and care engagement.","Central Florida healthcare systems similarly lack systematic screening for food insecurity, have limited EHR infrastructure for referral workflows, and face barriers like insufficient clinic–community partnerships, staff time constraints, and lack of nutrition services integration.","Based on Kaiser’s model, Central Florida could standardize food insecurity screening using tools like the Hunger Vital Sign, build EHR-triggered referral pathways to partners (e.g., Feeding America networks, local pantries), co-locate nutrition services, and use team-based care roles to share referral workloads.",Economic Stability ,"THRIVE can pilot a clinical screening initiative in select Central Florida clinics: train providers on the Hunger Vital Sign, configure EHR prompts linked to community resource lists, establish formal referral agreements with local food partners, and build a workflow that includes follow-up and monitoring of food assistance uptake."
,Alice in Osceola County ,Alice Report ,"ALICE is an acronym for Asset Limited, Income Constrained, Employed. Many households are struggling due to wages not keeping up with the cost of living. ","Household costs are above the federal poverty levels outlined income. 52% of households in Osceola County are ALICE households, higher than the state average (33%).  ","Osceola County can address its high ALICE household rate by expanding workforce training, advocating for living wages, increasing affordable housing, and improving access to childcare, transportation, and financial literacy resources",Economic Stability ,"Osceola County can address its high ALICE household rate by expanding workforce training, advocating for living wages, increasing affordable housing, and improving access to childcare, transportation, and financial literacy resources. Public–private partnerships, led by groups like the THRIVE working group and the Central Florida Foundation, can coordinate these efforts to lift working families above the ALICE threshold."
,Re-Imagining Orlando’s Talent Supply: A Business Perspective on In-Demand Skills,Foundation for Orlando’s Future ,This report discusses how COVID-19 reshaped the local labor market and emphasizes the need for a future-ready workforce. It introduces skills-based hiring as a pathway for upward mobility and identifies both persistent and emerging skills essential for long-term competitiveness. ,"The pandemic disproportionately impacted low-wage workers in Orlando, especially women and workers of color, many of whom remain disconnected from the workforce. Employers also face difficulty filling positions due to childcare barriers, health concerns, and job quality issues that limit worker return.","CFF can promote skills-based hiring by helping job seekers highlight transferable skills like communication, cultural awareness, and teamwork. Additionally, it can connect workers to training in high-demand areas such as healthcare, cloud computing, cybersecurity, and software development.",Economic Stability ,Thrive can operationalize these solutions by partnering with employers and educators to “skillify” curriculum and align job postings with in-demand competencies. It can also facilitate direct pipelines between local industries and workers through credentialing programs and targeted workforce development initiatives.
,Challenges of Florida Nonprofits ,Florida Nonprofit Alliance ,"Florida nonprofits are facing significant financial and operational challenges, worsened by natural disasters and a large population of low-income households. Many organizations lack the resources to sustain operations or respond to emergencies.","One-third of nonprofits were affected by hurricanes in 2024, and nearly half of those were hit twice in the same year, with 89% receiving no recovery funding. Additionally, nonprofits in Florida have low revenue per household, one-third have no financial reserves, and 30% of CEOs plan to leave within three years.","Improving financial resilience through emergency funding, disaster preparedness, and revenue growth strategies could stabilize nonprofits. Strengthening leadership pipelines and retention plans would help mitigate the loss of experienced CEOs.",Economic Stability ,"Thrive could provide funding assistance, training, and resources for disaster recovery planning. It can also offer leadership development programs and succession planning support to ensure organizational stability in Florida’s nonprofit sector."
,The Gap: A Shortage of Affordable Homes ,"Raquel Harati, Dan Emmanuel, Katie Renzi, Andrew Aurand ","The U.S. faces a severe shortage of affordable rental housing for extremely low-income renters, which threatens financial stability, health, and economic mobility. This shortage disproportionately impacts Black, Latino, and Indigenous households, as well as seniors, people with disabilities, and single-adult caregivers.","There are only 35 affordable and available homes for every 100 extremely low-income renter households nationwide. No state or major metropolitan area has an adequate supply, and federal housing assistance programs are underfunded, leaving millions at risk of housing instability.","Expanding subsidies for deeply affordable housing, preserving existing affordable units, and providing short-term rental assistance could address the housing gap. Sustained and robust federal investment is needed to ensure safe and stable housing for the lowest-income renters.",Economic Stability ,Thrive could partner with local housing agencies to support affordable housing development and offer rental assistance programs. It can also advocate for federal and state policy changes to increase funding and access to deeply affordable housing for the most vulnerable communities.
,High Frequency Indicators of Economic Recovery ,"Dale A. Brill, Sara Reynolds","The Orlando Market Overview tracks high-frequency labor and economic indicators to assess recovery and detect contractions in the region. It highlights consumer spending, job postings, labor force participation, and industry hiring trends across Lake, Orange, Osceola, and Seminole counties.","Job postings fell below 26,000 in September 2021, down 14.7% month-over-month and 7.5% from 2019, signaling hiring struggles despite workforce growth. Labor force participation still lags 1.7% behind pre-pandemic levels, with skill mismatches and “The Great Resignation” contributing to shortages.","Consumer spending remains strong, standing 25.2% above pre-pandemic levels statewide and up to 39.1% higher locally, driven by retail, entertainment, and pent-up demand for travel. Orlando also regained over 15,000 jobs, with major hiring in Education and Health Services, Professional and Business Services, Construction, and Leisure and Hospitality.",Economic Stability ,"Thrive can leverage strong consumer and sector-specific growth to guide workforce development, prioritizing training in expanding industries like healthcare, business services, and construction. At the same time, it can partner with employers to address labor frictions by connecting ALICE workers to opportunities in sectors with high demand but recruitment challenges."
,Beyond the Baseline: Orlando Prosperity Scorecard 2021 ,Orlando Economic Partnership ,"The Orlando Prosperity Scorecard emphasizes Broad-based Prosperity, which is an economy where opportunities are widely accessible, barriers to participation are removed, and life outcomes are not determined by race or neighborhood. It highlights both pre-pandemic growth and the ways COVID-19 accelerated disparities, setting a baseline for a more inclusive recovery.
","Nearly half of Central Florida households live paycheck to paycheck, even after years of record economic expansion. Median wages remain among the lowest of the 50 largest U.S. metros, with racial and neighborhood gaps in outcomes compounded by pandemic-driven disruptions","The Scorecard shows that reducing structural barriers to workforce participation, expanding access to digital opportunities, and improving wages are key to creating upward mobility. Collaborative, cross-sector strategies around housing, transportation, and education will be essential to sustaining a resilient regional economy.",Economic Stability ,"Thrive can convene business, government, and nonprofit partners to address systemic barriers, aligning workforce development programs with digital economy growth. It can also push for policy and investment in equitable infrastructure—like internet access, skills training, and affordable housing—to make broad-based prosperity attainable for all communities."
,The State of Senior Hunger in 2020 ,"Dr. James P. Ziliak, Dr. Craig Gundersen","Food insecurity remains a persistent challenge for seniors in the U.S., affecting 6.8% of the 60+ population and leaving 2.0 million with very low food security in 2020. Although rates did not spike during the COVID-19 pandemic, they remain significantly higher than pre-Great Recession levels.
","Senior food insecurity has grown dramatically over the past two decades, with a 222% increase in very low food security since 2001. Disparities are especially severe among Black and Hispanic seniors, renters, and those with lower incomes, creating ongoing health and equity challenges.","CFF can strengthen senior-focused programming by supporting outreach that addresses racial, income, and housing disparities. It can also invest in tracking food insecurity trends and partnering with healthcare systems to mitigate the health consequences tied to poor nutrition.",Economic Stability ,"Thrive can foster collaborations with senior centers, healthcare providers, and housing organizations to expand access to nutritious food. It can also advocate for policy changes that sustain SNAP expansions, improve benefit adequacy, and ensure targeted aid for vulnerable seniors."
,Expanding the Toolbox: The Whole-of-Government Response to Homelessness ,United States Interagency Council on Homelessness ,"The federal government’s 2013 shift toward a “housing first” one-size-fits-all model has not reduced homelessness across populations or communities. A new, more flexible strategy called Expanding the Toolbox emphasizes root causes, dignity of work, trauma-informed care, prevention, racial disparities, and alternatives to criminalization.","Policies that ignore underlying causes of homelessness, paired with high housing costs in over-regulated markets, have worsened the crisis. Artificial redefinitions and narrow approaches provide false progress while overall homelessness has increased despite funding growth.","CFF can support multifaceted strategies that prioritize prevention, workforce participation, mental health, and tailored programming for different populations. Partnerships with public and private agencies can strengthen trauma-informed care, racial equity, and affordable housing construction.",Economic Stability ,"Thrive can promote flexible, outcome-driven funding models that allow local agencies to choose the mix of shelters, transitional housing, and services best suited to their communities. It can also amplify collaboration across government, nonprofits, and faith-based partners to reduce reliance on public assistance while optimizing self-sufficiency."
,Affordable Housing in Pittsburgh: A Collaborative Approach to Neighborhood Development in Southwest Atlanta,The Annie E. Casey Foundation ,"Pittsburgh, one of Atlanta’s oldest African American working-class neighborhoods, has faced decades of decline due to disinvestment, discriminatory policies, and the foreclosure crisis. The Annie E. Casey Foundation launched a revitalization effort in 2009, using affordable housing development and community partnerships to stabilize and rebuild the area.","Despite progress, rising redevelopment pressures from nearby projects like the BeltLine and airport expansion threaten to displace low-income residents. Without sustained affordable housing initiatives, Pittsburgh risks losing its long-term residents to rising rents, property taxes, and housing costs.","CFF can learn from Casey’s multipronged strategy that combines affordable housing construction, land trusts, community engagement, and legal aid for vulnerable tenants. Partnerships with nonprofits, local government, and neighborhood coalitions provide holistic support, from home repairs to eviction prevention.",Economic Stability ,"Thrive can adopt collaborative housing initiatives that prioritize both preservation and creation of affordable units while investing in resident-led community development. By leveraging legal support, home repair programs, and land banking, Thrive can ensure long-term stability and prevent displacement in at-risk neighborhoods."
